"""Ano de Lançamento""";"""Certificado de Produto Brasileiro (CPB)""";"""Título""";"""Direção""";"""Gênero""";"""Empresa Produtora Brasileira Majoritária""";"""UF""";"""Empresa Produtora Minoritária Brasileira""";"""UF""";"""Distribuidora""";"""Máximo de Salas""";"""Renda (R$)""";"""Público """
"""1996""";"""B0700798500000""";"""O Monge e a Filha do Carrasco""";"""Walter Lima Junior""";"""Ficção""";"""JBR Filmes""";"""RJ""";""" -""";""" -""";"""RioFilme""";"""9""";"""72173""";"""16824"""
"""1996""";"""B0500444400000""";"""Quem Matou Pixote?""";"""José Joffily""";"""Ficção""";"""Coevo Filmes""";"""RJ""";""" -""";""" -""";"""RioFilme""";"""57""";"""148534""";"""32220"""
"""1996""";"""B0500274700000""";"""Sombras de Julho""";"""Marco Altberg""";"""Ficção""";"""M. Altberg Cinema e Vídeo""";"""RJ""";""" -""";""" -""";"""RioFilme""";"""ND""";"""5000""";"""767"""
"""1996""";"""B0500263900000""";"""Tieta do Agreste""";"""Cacá Diegues""";"""Ficção""";"""Skylight""";"""RJ""";""" -""";""" -""";"""Columbia""";"""133""";"""2380586""";"""511954"""
"""1996""";"""-""";"""Todos os Corações do Mundo""";"""Murilo Salles""";"""Documentário""";"""Sports Target Media""";"""RJ""";""" -""";""" -""";"""S. Ribeiro""";"""86""";"""1004415""";"""265017"""
"""1997""";"""B0500311100000""";"""A Ostra e o Vento""";"""Walter Lima Junior""";"""Ficção""";"""Tambellini Filmes""";"""RJ""";""" -""";""" -""";"""RioFilme""";"""9""";"""372814""";"""86616"""
"""1997""";"""B0600520300000""";"""Anahy de Las Misiones""";"""Sérgio Silva""";"""Ficção""";"""M. Schmiedt Produções""";"""RS""";""" -""";""" -""";"""S. Ribeiro""";"""15""";"""492560""";"""131000"""
"""1997""";"""B0400059500000""";"""Baile Perfumado""";"""Lírio Ferreira/Paulo Caldas""";"""Ficção""";"""Raccord Produções""";"""RJ""";""" -""";""" -""";"""RioFilme""";"""7""";"""326879""";"""73062"""
"""1997""";"""B0500313900000""";"""Buena Sorte""";"""Tânia Lamarca""";"""Ficção""";"""Acquafredda Cinema/Skylight""";"""SC/RJ""";""" -""";""" -""";"""Columbia""";"""7""";"""37654""";"""10674"""
"""1997""";"""-""";"""Crede-Mi""";"""Bia Lessa/Dany Roland""";"""Ficção""";"""Bia Lessa Produções Artísticas""";"""SP""";""" -""";""" -""";"""RioFilme""";"""1""";"""10585""";"""2134"""
"""1997""";"""B0500313800000""";"""Ed Mort""";"""Alain Fresnot""";"""Ficção""";"""A.F. Cinema""";"""SP""";""" -""";""" -""";"""RioFilme""";"""16""";"""370809""";"""74195"""
"""1997""";"""B0300027400000""";"""Guerra de Canudos""";"""Sergio Rezende""";"""Ficção""";"""Morena Filmes""";"""RJ""";""" -""";""" -""";"""Columbia""";"""78""";"""2725130""";"""655016"""
"""1997""";"""B0500321300000""";"""Lua de Outubro""";"""Henrique de Freitas Lima""";"""Ficção""";"""Cinematográfica Pampeana""";"""RS""";""" -""";""" -""";"""Paris""";"""17""";"""114351""";"""33894"""
"""1997""";"""B1101390800000""";"""Miramar""";"""Julio Bressane""";"""Ficção""";"""Julio Bressane""";"""RJ""";""" -""";""" -""";"""RioFilme""";"""2""";"""39451""";"""7616"""
"""1997""";"""-""";"""Navalha na Carne""";"""Neville D'Almeida""";"""Ficção""";"""Terra Brasilis""";"""RJ""";""" -""";""" -""";"""S. Ribeiro""";"""101""";"""784214""";"""170929"""
"""1997""";"""B0800853700000""";"""O Amor Está no Ar""";"""Amylton de Oliveira""";"""Ficção""";"""LCA Produções""";"""ES""";""" -""";""" -""";"""RioFilme""";"""3""";"""31816""";"""5877"""
"""1997""";"""B0800842700000""";"""O Cangaceiro""";"""Anibal Massaini Neto""";"""Ficção""";"""Cinearte Produções Cinematográficas """;"""SP""";""" -""";""" -""";"""S. Ribeiro""";"""10""";"""618692""";"""140932"""
"""1997""";"""B0400076600000""";"""O Homem Nu""";"""Hugo Carvana""";"""Ficção""";"""Mac Comunicacão""";"""RJ""";""" -""";""" -""";"""RioFilme""";"""14""";"""450321""";"""74188"""
"""1997""";"""B0500336500000""";"""O Noviço Rebelde""";"""Tizuka Yamasaki""";"""Ficção""";"""Renato Aragão Produções""";"""RJ""";""" -""";""" -""";"""Columbia/Art Filmes""";"""174""";"""6019150""";"""1501035"""
"""1997""";"""B0500261400000""";"""O Que É Isso Companheiro?""";"""Bruno Barreto""";"""Ficção""";"""Filmes do Equador""";"""RJ""";""" -""";""" -""";"""Columbia""";"""48""";"""1787262""";"""321450"""
"""1997""";"""B1001308600000""";"""O Sertão das Memórias""";"""José Araújo""";"""Documentário""";"""Ganesh Produções""";"""CE""";""" -""";""" -""";"""RioFilme""";"""ND""";"""15000""";"""3110"""
"""1997""";"""B0500239200000""";"""O Velho - A História de Luiz Carlos Prestes""";"""Toni Venturi""";"""Documentário""";"""Olhar Imaginário""";"""SP""";""" -""";""" -""";"""RioFilme""";"""2""";"""44290""";"""11874"""
"""1997""";"""B0500420200000""";"""Os Matadores""";"""Beto Brant""";"""Ficção""";"""Casa de Produção""";"""SP""";""" -""";""" -""";"""RioFilme""";"""6""";"""128998""";"""27014"""
"""1997""";"""B0500311000000""";"""Pequeno Dicionário Amoroso""";"""Sandra Werneck""";"""Ficção""";"""Cineluz Produções""";"""RJ""";""" -""";""" -""";"""Lumière/RioFilme""";"""23""";"""2100685""";"""402430"""
"""1997""";"""B0500311300000""";"""Silvino Santos - o Cineasta da Selva""";"""Aurélio Michelis""";"""Documentário""";"""Superfilmes""";"""SP""";""" -""";""" -""";"""RioFilme""";"""2""";"""21386""";"""4560"""
"""1997""";"""B0600478000000""";"""Um Céu de Estrelas""";"""Tata Amaral""";"""Ficção""";"""Tata Amaral""";"""SP""";""" -""";""" -""";"""RioFilme""";"""1""";"""72390""";"""13307"""
"""1998""";"""B0500262300000""";"""A Grande Noitada""";"""Denoy de Oliveira""";"""Ficção""";"""Palmares""";"""SP""";""" -""";""" -""";"""RioFilme""";"""1""";"""7594""";"""1587"""
"""1998""";"""B0500286200000""";"""Ação entre Amigos""";"""Beto Brant""";"""Ficção""";"""Dezenove Som e Imagens""";"""SP""";""" -""";""" -""";"""S. Ribeiro/RioFilme""";"""3""";"""194330""";"""38957"""
"""1998""";"""-""";"""Alô""";"""Mara Mourão""";"""Ficção""";"""Mamo Filmes""";"""SP""";""" -""";""" -""";"""RioFilme""";"""ND""";"""13000""";"""2703"""
"""1998""";"""B0500312600000""";"""Amor e Cia""";"""Helvécio Ratton""";"""Ficção""";"""Quimera Filmes""";"""MG""";""" -""";""" -""";"""S. Ribeiro/RioFilme""";"""24""";"""237310""";"""47179"""
"""1998""";"""B0500261200000""";"""Amores""";"""Domingos de Oliveira""";"""Ficção""";"""TV Zero""";"""RJ""";""" -""";""" -""";"""S. Ribeiro/RioFilme""";"""6""";"""164418""";"""33192"""
"""1998""";"""B0300023600000""";"""Bahia de Todos os Sambas""";"""Leon Hirszman/Paulo César Saraceni""";"""Documentário""";"""Shater Produções Artísticas""";"""RJ""";""" -""";""" -""";"""RioFilme""";"""1""";"""5107""";"""1037"""
"""1998""";"""B0500326400000""";"""Bela Donna""";"""Fábio Barreto""";"""Ficção""";"""Filmes do Equador""";"""RJ""";""" -""";""" -""";"""S. Ribeiro/RioFilme""";"""74""";"""370060""";"""68151"""
"""1998""";"""B0400052500000""";"""Bocage - o Triunfo do Amor""";"""Djalma Limongi Batista""";"""Ficção""";"""Cinema do Século XXI""";"""SP""";""" -""";""" -""";"""RioFilme""";"""2""";"""73281""";"""16621"""
"""1998""";"""B0600556000000""";"""Boleiros, Era uma Vez o Futebol""";"""Ugo Giorgetti""";"""Ficção""";"""SP Filmes de São Paulo""";"""SP""";""" -""";""" -""";"""Tabu Arte""";"""ND""";"""300000""";"""60000"""
"""1998""";"""B0500310900000""";"""Central do Brasil""";"""Walter Salles""";"""Ficção""";"""Videofilmes""";"""RJ""";""" -""";""" -""";"""S. Ribeiro/RioFilme""";"""79""";"""8087276""";"""1593967"""
"""1998""";"""-""";"""Cinderela Bahiana""";"""Conrado Sanchez""";"""Ficção""";"""Galante Filmes""";"""SC""";""" -""";""" -""";"""Art Filmes""";"""ND""";"""180000""";"""32000"""
"""1998""";"""B0500272900000""";"""Como Ser Solteiro""";"""Rosane Svartman""";"""Ficção""";"""Raccord Produções""";"""RJ""";""" -""";""" -""";"""S. Ribeiro/RioFilme""";"""25""";"""825101""";"""150778"""
"""1998""";"""B0500403300000""";"""Coração Iluminado""";"""Hector Babenco""";"""Ficção""";"""HB Filmes""";"""SP""";""" -""";""" -""";"""Columbia""";"""19""";"""92892""";"""17850"""
"""1998""";"""B0500403400000""";"""For All - o Trampolim da Vitória""";"""Buza Ferraz/Luiz Carlos Lacerda""";"""Ficção""";"""Bigdeni Filmes""";"""RJ""";""" -""";""" -""";"""Columbia""";"""35""";"""348628""";"""62604"""
"""1998""";"""B0400110800000""";"""Kenoma""";"""Eliane Caffé""";"""Ficção""";"""A.F. Cinema""";"""SP""";""" -""";""" -""";"""RioFilme""";"""ND""";"""40000""";"""8197"""
"""1998""";"""B0500310800000""";"""La Serva Padrona""";"""Carla Camurati""";"""Ficção""";"""Copacabana Filmes e Produções""";"""RJ""";""" -""";""" -""";"""Elimar""";"""ND""";"""250000""";"""50000"""
"""1998""";"""B0500242600000""";"""Menino Maluquinho 2 - A Aventura""";"""Fabrízia Alves Pinto/Fernando Meirelles""";"""Ficção""";"""Grupo Novo de Cinema e TV""";"""RJ""";""" -""";""" -""";"""S. Ribeiro/RioFilme""";"""94""";"""898496""";"""367456"""
"""1998""";"""B0800834800000""";"""O Toque do Oboé""";"""Cláudio Macdowell""";"""Ficção""";"""Imágica Produções""";"""RJ""";"""RioFilme""";"""RJ""";"""RioFilme""";"""ND""";"""12000""";"""2368"""
"""1998""";"""B0500334800000""";"""Policarpo Quaresma - Herói do Brasil""";"""Paulo Thiago""";"""Ficção""";"""Vitória Produções""";"""RJ""";""" -""";""" -""";"""S. Ribeiro/RioFilme""";"""11""";"""183538""";"""76761"""
"""1998""";"""B0500335300000""";"""Simão, o Fantasma Trapalhão""";"""Paulo Aragão""";"""Ficção""";"""Renato Aragão Produções""";"""RJ""";""" -""";""" -""";"""Columbia""";"""246""";"""6118522""";"""1658136"""
"""1998""";"""B1101381700000""";"""Terra do Mar""";"""Eduardo Caron/Mirella Martinelli""";"""Documentário""";"""Bad Machine""";"""SP""";""" -""";""" -""";"""RioFilme""";"""2""";"""7596""";"""1531"""
"""1998""";"""B0500307600000""";"""Traição""";"""Arthur Fontes/Claudio Torres/José Henrique Fonseca""";"""Ficção""";"""Conspiração Filmes""";"""RJ""";""" -""";""" -""";"""Lumière""";"""7""";"""202207""";"""37572"""
"""1998""";"""B0600491200000""";"""Tudo é Brasil""";"""Rogério Sganzerla""";"""Documentário""";"""Mercúrio Produções""";"""SP""";""" -""";""" -""";"""RioFilme""";"""1""";"""5348""";"""1910"""
"""1999""";"""B0500436200000""";"""A Hora Mágica""";"""Guilherme de Almeida Prado""";"""Ficção""";"""Star Filmes """;"""SP""";""" -""";""" -""";"""RioFilme""";"""7""";"""31891""";"""5999"""
"""1999""";"""B0400055300000""";"""Até que a Vida nos Separe""";"""José Zaragoza""";"""Ficção""";"""Zaragoza Produções""";"""SP""";""" -""";""" -""";"""RioFilme""";"""36""";"""243629""";"""43815"""
"""1999""";"""B0700724300000""";"""Caminho dos Sonhos""";"""Luca Amberg""";"""Ficção""";"""Amberg Filmes""";"""SP""";""" -""";""" -""";"""UIP""";"""22""";"""68060""";"""14646"""
"""1999""";"""B0500313700000""";"""Castelo Rá-Tim-Bum, o Filme""";"""Cao Hamburger""";"""Ficção""";"""A.F. Cinema""";"""SP""";"""A.F. Cinema""";"""SP""";"""Columbia""";"""134""";"""3031875""";"""725329"""
"""1999""";"""-""";"""Contos de Lygia e Morte""";"""Del Rangel""";"""Ficção""";"""Cinema Profissional""";"""SP""";""" -""";""" -""";"""Lumière""";"""2""";"""3257""";"""649"""
"""1999""";"""B0500286100000""";"""Dois Córregos""";"""Carlos Reichenbach""";"""Ficção""";"""Dezenove Som e Imagens/TV Cultura""";"""SP/SP""";""" -""";""" -""";"""RioFilme""";"""13""";"""189716""";"""38017"""
"""1999""";"""B0500304300000""";"""Fé""";"""Ricardo Dias""";"""Documentário""";"""Superfilmes""";"""SP""";""" -""";""" -""";"""RioFilme""";"""4""";"""42349""";"""8248"""
"""1999""";"""-""";"""Histórias do Flamengo""";"""Alexandre Niemyer""";"""Documentário""";"""Produções Carlos Niemeyer Filmes""";"""RJ""";""" -""";""" -""";"""RioFilme""";"""14""";"""56465""";"""11157"""
"""1999""";"""B0600618500000""";"""Mário""";"""Hermano Penna""";"""Ficção""";"""Luz XXI/Estudios Quanta""";"""SP/SP""";""" -""";""" -""";"""RioFilme""";"""1""";"""11929""";"""2249"""
"""1999""";"""B0400086000000""";"""Mauá - o Imperador e o Rei""";"""Sergio Rezende""";"""Ficção""";"""Lagoa Cultural""";"""RJ""";""" -""";""" -""";"""Buena Vista/RioFilme""";"""78""";"""923684""";"""195790"""
"""1999""";"""B0500310100000""";"""No Coração dos Deuses""";"""Geraldo Moraes""";"""Ficção""";"""Aquarela""";"""DF""";""" -""";""" -""";"""RioFilme""";"""25""";"""90530""";"""23217"""
