"""Ano de exibição""";"""Distribuidora""";"""Número de Registro Ancine""";"""Origem da empresa distribuidora""";"""Público""";"""Público Filmes Brasileiros""";"""Renda (R$)""";"""Renda Filmes Brasileiros (R$)""";"""Títulos Exibidos""";"""Títulos Brasileiros  Exibidos""";"""Títulos Lançados""";"""Títulos Brasileiros Lançados"""
"""2011""";"""Panda Filmes""";"""941""";"""Distribuição Nacional""";"""10218""";"""2285""";"""84111,52""";"""19268""";"""5""";"""3""";"""4""";"""2"""
"""2011""";"""Pandora """;"""12443/333""";"""Distribuição Nacional""";"""65369""";"""13190""";"""574166,42""";"""94422""";"""25""";"""6""";"""6""";"""3"""
"""2011""";"""Paramount""";"""169""";"""Distribuição Internacional""";"""24253226""";"""1283545""";"""252000886""";"""11967157""";"""21""";"""3""";"""17""";"""1"""
"""2011""";"""Paris """;"""11922""";"""Distribuição Nacional""";"""13801567""";"""912676""";"""136992869,42""";"""8288699""";"""36""";"""3""";"""23""";"""3"""
"""2011""";"""Petrini""";"""18028""";"""Distribuição Nacional""";"""25553""";"""0""";"""216244,89""";"""0""";"""4""";"""0""";"""3""";"""0"""
"""2011""";"""Pipa""";"""5467""";"""Distribuição Nacional""";"""33130""";"""31912""";"""260124,51""";"""250449""";"""6""";"""5""";"""6""";"""5"""
"""2011""";"""Playarte""";"""443""";"""Distribuição Nacional""";"""3199162""";"""115807""";"""34896890,05""";"""1035571""";"""28""";"""4""";"""17""";"""1"""
"""2011""";"""Polifilmes""";"""2550""";"""Distribuição Nacional""";"""23712""";"""23712""";"""205232,9""";"""205233""";"""9""";"""9""";"""6""";"""6"""
"""2011""";"""Polifilmes/Lapfilme""";"""2550/994""";"""Distribuição Nacional""";"""3469""";"""3469""";"""32011,56""";"""32012""";"""1""";"""1""";"""1""";"""1"""
"""2011""";"""Raiz Filmes""";"""11792""";"""Distribuição Nacional""";"""171463""";"""171463""";"""516760,05""";"""516760""";"""14""";"""14""";"""3""";"""3"""
"""2011""";"""Schürmann""";"""7132""";"""Distribuição Nacional""";"""9821""";"""9821""";"""101249,85""";"""101250""";"""1""";"""1""";"""1""";"""1"""
"""2011""";"""Serendip""";"""4626""";"""Distribuição Nacional""";"""110142""";"""0""";"""1161600,33""";"""0""";"""9""";"""0""";"""5""";"""0"""
"""2011""";"""Sony """;"""84""";"""Distribuição Internacional""";"""19652349""";"""46759""";"""194832720,1""";"""400409""";"""43""";"""10""";"""17""";"""1"""
"""2011""";"""Sony/Downtown""";"""84/4904""";"""Codistribuição Internacional-Nacional""";"""65""";"""65""";"""161""";"""161""";"""1""";"""1""";"""0""";"""0"""
"""2011""";"""Sony/RioFilme""";"""84/105""";"""Codistribuição Internacional-Nacional""";"""4783""";"""4783""";"""14447,5""";"""14448""";"""1""";"""1""";"""0""";"""0"""
"""2011""";"""Tucumán""";"""16132""";"""Distribuição Nacional""";"""1172""";"""0""";"""12561,15""";"""0""";"""1""";"""0""";"""1""";"""0"""
"""2011""";"""TVA2 Produções""";"""14408""";"""Distribuição Nacional""";"""251""";"""251""";"""1745,05""";"""1745""";"""1""";"""1""";"""1""";"""1"""
"""2011""";"""Universal""";"""169/84/33787""";"""Distribuição Internacional""";"""6329264""";"""593861""";"""59818790""";"""5881678""";"""17""";"""2""";"""11""";"""1"""
"""2011""";"""Videofilmes""";"""276""";"""Distribuição Nacional""";"""10436""";"""10436""";"""96645,82""";"""96646""";"""5""";"""5""";"""4""";"""4"""
"""2011""";"""Vinny filmes """;"""17810""";"""Distribuição Nacional""";"""828408""";"""0""";"""7919553,22""";"""0""";"""5""";"""0""";"""5""";"""0"""
"""2011""";"""Vitrine Filmes""";"""16713""";"""Distribuição Nacional""";"""26677""";"""25512""";"""212897,01""";"""202101""";"""17""";"""16""";"""14""";"""13"""
"""2011""";"""Warner""";"""265""";"""Distribuição Internacional""";"""18131124""";"""54563""";"""184760347,36""";"""536448""";"""37""";"""3""";"""21""";"""2"""
"""2011""";"""Warner/RioFilme""";"""265/105""";"""Codistribuição Internacional-Nacional""";"""3426""";"""3426""";"""10198""";"""10198""";"""1""";"""1""";"""0""";"""0"""
"""2011""";"""Zazen""";"""611""";"""Distribuição Nacional""";"""123248""";"""123248""";"""1141039,58""";"""1141040""";"""1""";"""1""";"""0""";"""0"""
"""2011""";"""Zéfiro Produções""";"""18707""";"""Distribuição Nacional""";"""0""";"""0""";"""0""";"""0""";"""1""";"""1""";"""1""";"""1"""
"""2012""";"""Ab Filmes""";"""136""";"""Distribuição Nacional""";"""13507""";"""0""";"""151492,28""";"""0""";"""3""";"""0""";"""2""";"""0"""
"""2012""";"""Ab Filmes/Festival Filmes""";"""136/16538""";"""Distribuição Nacional""";"""118""";"""118""";"""749""";"""749""";"""1""";"""1""";"""0""";"""0"""
"""2012""";"""Ab Filmes/Polifilmes""";"""136/2550""";"""Distribuição Nacional""";"""7149""";"""7149""";"""71046,47""";"""71046""";"""1""";"""1""";"""1""";"""1"""
"""2012""";"""Affonso Uchôa""";"""20515""";"""Distribuição Nacional""";"""321""";"""321""";"""1488,5""";"""1489""";"""1""";"""1""";"""1""";"""1"""
"""2012""";"""Bollywood Filmes""";"""20883""";"""Distribuição Nacional""";"""1355""";"""0""";"""12518,21""";"""0""";"""1""";"""0""";"""1""";"""0"""
"""2012""";"""Bonfilm""";"""14462""";"""Distribuição Nacional""";"""141""";"""0""";"""910,5""";"""0""";"""1""";"""0""";"""0""";"""0"""
"""2012""";"""Caliban""";"""854""";"""Distribuição Nacional""";"""4493""";"""4493""";"""40278,5""";"""40279""";"""1""";"""1""";"""1""";"""1"""
"""2012""";"""Califórnia """;"""532""";"""Distribuição Nacional""";"""1763263""";"""38739""";"""21285077,06""";"""393593""";"""22""";"""1""";"""16""";"""1"""
"""2012""";"""Canal Azul""";"""526""";"""Distribuição Nacional""";"""691""";"""691""";"""7719""";"""7719""";"""1""";"""1""";"""1""";"""1"""
"""2012""";"""Carioca""";"""1442""";"""Distribuição Nacional""";"""60""";"""60""";"""190,75""";"""191""";"""1""";"""1""";"""0""";"""0"""
"""2012""";"""Casa Azul""";"""2260""";"""Distribuição Nacional""";"""39""";"""39""";"""415""";"""415""";"""1""";"""1""";"""1""";"""1"""
"""2012""";"""Ciclorama""";"""17471""";"""Distribuição Nacional""";"""322""";"""322""";"""1692""";"""1692""";"""1""";"""1""";"""1""";"""1"""
"""2012""";"""Copacabana Filmes""";"""506""";"""Distribuição Nacional""";"""96""";"""96""";"""320""";"""320""";"""1""";"""1""";"""0""";"""0"""
"""2012""";"""Disney""";"""18398""";"""Distribuição Internacional""";"""17141172""";"""0""";"""200716283,11""";"""0""";"""16""";"""0""";"""7""";"""0"""
"""2012""";"""Downtown """;"""4904""";"""Distribuição Nacional""";"""48739""";"""48739""";"""511058,02""";"""511058""";"""5""";"""5""";"""2""";"""2"""
"""2012""";"""Downtown/Paris/RioFilme""";"""4904/11922/105""";"""Distribuição Nacional""";"""9970033""";"""9970033""";"""101054281,79""";"""101054282""";"""6""";"""6""";"""6""";"""6"""
"""2012""";"""Downtown/RioFilme""";"""4904/105""";"""Distribuição Nacional""";"""96357""";"""96357""";"""1026880,87""";"""1026881""";"""2""";"""2""";"""1""";"""1"""
"""2012""";"""Elo Company""";"""5672""";"""Distribuição Nacional""";"""681""";"""681""";"""8576,42""";"""8576""";"""1""";"""1""";"""1""";"""1"""
"""2012""";"""Empresa Cinematográfica Pampeana""";"""929""";"""Distribuição Nacional""";"""970""";"""970""";"""8524,81""";"""8525""";"""1""";"""1""";"""1""";"""1"""
"""2012""";"""Esfera Produções""";"""18039""";"""Distribuição Nacional""";"""41931""";"""0""";"""498241,61""";"""0""";"""8""";"""0""";"""6""";"""0"""
"""2012""";"""Espaço Filmes """;"""1083""";"""Distribuição Nacional""";"""21847""";"""21847""";"""228387,88""";"""228388""";"""7""";"""7""";"""5""";"""5"""
"""2012""";"""Espaço Itaú de Cinema""";"""14006""";"""Distribuição Nacional""";"""1639""";"""0""";"""34470,12""";"""0""";"""2""";"""0""";"""1""";"""0"""
"""2012""";"""Filmes da Mostra""";"""1797/29957""";"""Distribuição Nacional""";"""16860""";"""0""";"""152203,82""";"""0""";"""11""";"""0""";"""5""";"""0"""
"""2012""";"""Filmes do Estação""";"""592""";"""Distribuição Nacional""";"""24885""";"""54""";"""222280,89""";"""321""";"""5""";"""1""";"""1""";"""0"""
"""2012""";"""Formosa Filmes""";"""16462""";"""Distribuição Nacional""";"""18""";"""18""";"""192""";"""192""";"""1""";"""1""";"""0""";"""0"""
"""2012""";"""Fox""";"""256""";"""Distribuição Internacional""";"""21096097""";"""160554""";"""219680717,47""";"""1492418""";"""25""";"""3""";"""15""";"""1"""
